Store,Date,Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,year,month,day,dayofweek,weekofyear,lag_1,lag_7,lag_14,lag_28,rolling_mean_7,rolling_mean_30
0,2011-05-08,1624383.75,0,91.65,3.684,215.544618,7.962,2011,5,8,6,18,1697229.58,1488538.09,1507460.69,1453329.5,1599721.7485714287,1564482.3532142858
0,2011-06-05,1629391.28,0,64.61,3.906,215.7960035,7.682,2011,6,5,6,22,1624383.75,1550229.22,1682614.26,1594968.28,1619128.2714285715,1566547.9186206898
0,2011-07-01,1444732.28,0,48.27,2.976,211.4047419,7.742,2011,7,1,4,26,1629391.28,1584083.95,1542561.09,1492418.14,1630437.137142857,1568642.6973333333
0,2011-07-10,1630989.95,0,69.31,3.285,217.0453684,7.866,2011,7,10,6,27,1444732.28,1635078.41,1641957.44,1540163.53,1610529.7557142857,1568356.1233333335
0,2011-08-04,1614259.35,0,67.84,3.622,215.0743939,7.682,2011,8,4,3,31,1630989.95,1606629.58,1439541.59,1548033.78,1609945.69,1569556.8456666665
0,2011-08-07,1534849.64,0,85.83,3.48,215.2771754,7.962,2011,8,7,6,31,1614259.35,1636263.41,1494479.49,1615524.71,1611035.657142857,1573618.2193333332
0,2011-09-09,1540471.24,1,76.0,3.546,215.861056,7.962,2011,9,9,4,36,1534849.64,1697229.58,1495064.75,1643690.9,1596547.9757142856,1573441.0896666667
0,2011-09-12,1799682.38,0,43.93,3.158,218.9618456,7.866,2011,9,12,0,37,1540471.24,1624383.75,1488538.09,1554806.68,1574153.9271428569,1573189.0050000001
0,2011-10-06,1588948.32,0,83.13,3.648,215.0435229,7.682,2011,10,6,3,40,1799682.38,1629391.28,1550229.22,1551659.28,1599196.5885714286,1579327.594
0,2011-11-02,1649614.93,1,36.39,3.022,212.9367046,7.742,2011,11,2,2,44,1588948.32,1444732.28,1584083.95,1605491.78,1593419.0228571428,1577502.8413333334
0,2011-11-03,1553191.63,0,53.56,3.459,214.1110564,7.742,2011,11,3,3,44,1649614.93,1630989.95,1635078.41,1603955.12,1622687.972857143,1580663.116333333
0,2011-11-11,1594938.89,0,59.11,3.297,217.9980849,7.866,2011,11,11,4,45,1553191.63,1614259.35,1606629.58,1508239.93,1611573.9271428569,1580714.1946666667
0,2011-12-08,1525147.09,0,90.76,3.638,215.6057878,7.962,2011,12,8,3,49,1594938.89,1534849.64,1636263.41,1545418.53,1608813.8614285714,1580362.4316666669
0,2012-01-06,1624477.58,0,77.95,3.501,221.7472139,7.143,2012,1,6,4,1,1525147.09,1540471.24,1697229.58,1546074.18,1607427.7828571426,1577735.4973333331
0,2012-02-03,1688420.76,0,60.96,3.63,220.8480454,7.348,2012,2,3,4,5,1624477.58,1799682.38,1624383.75,1507460.69,1619428.6885714284,1581610.0856666667
0,2012-03-02,1636339.65,0,56.55,3.36,220.1720153,7.348,2012,3,2,4,9,1688420.76,1588948.32,1629391.28,1682614.26,1603534.1714285712,1586376.826666667
0,2012-03-08,1631135.79,0,86.11,3.417,221.9498642,6.908,2012,3,8,3,10,1636339.65,1649614.93,1444732.28,1542561.09,1610304.3614285714,1589385.6756666668
0,2012-04-05,1684519.99,0,75.55,3.749,221.6718,7.143,2012,4,5,3,14,1631135.79,1553191.63,1630989.95,1641957.44,1607664.4842857143,1593508.179
0,2012-05-10,1670785.97,0,68.55,3.617,223.1814772,6.573,2012,5,10,3,19,1684519.99,1594938.89,1614259.35,1439541.59,1626425.6785714286,1593571.7033333334
0,2012-06-01,1550369.92,0,49.01,3.157,219.7142581,7.348,2012,6,1,4,22,1670785.97,1525147.09,1534849.64,1494479.49,1637260.9757142856,1597845.866
0,2012-06-04,1899676.88,0,70.43,3.891,221.4356112,7.143,2012,6,4,0,23,1550369.92,1624477.58,1540471.24,1495064.75,1640864.2371428572,1594792.9486666666
0,2012-06-07,1769854.16,0,81.57,3.227,221.8837789,6.908,2012,6,7,3,23,1899676.88,1688420.76,1799682.38,1488538.09,1680178.422857143,1610130.7916666667
0,2012-07-09,1661767.33,1,83.96,3.73,222.4390153,6.908,2012,7,9,0,28,1769854.16,1636339.65,1588948.32,1550229.22,1691811.7657142857,1619309.9473333333
0,2012-08-06,1697230.96,0,78.3,3.452,221.7494839,7.143,2012,8,6,0,32,1661767.33,1631135.79,1649614.93,1584083.95,1695444.2914285713,1624866.7
0,2012-09-03,1675431.16,0,58.76,3.669,221.0591887,7.348,2012,9,3,0,36,1697230.96,1684519.99,1553191.63,1635078.41,1704886.4585714284,1631823.129
0,2012-10-02,1802477.43,1,48.02,3.409,220.2651783,7.348,2012,10,2,1,40,1675431.16,1670785.97,1594938.89,1606629.58,1703588.0542857142,1635996.5269999998
0,2012-10-08,1592409.97,0,85.05,3.494,221.9584329,6.908,2012,10,8,0,41,1802477.43,1550369.92,1525147.09,1636263.41,1722401.1199999999,1643276.309666667
0,2012-11-05,1611096.05,0,73.77,3.688,221.7256632,7.143,2012,11,5,0,45,1592409.97,1899676.88,1624477.58,1697229.58,1728406.8414285716,1641854.0283333333
0,2012-12-10,1573072.81,0,62.99,3.601,223.3812965,6.573,2012,12,10,0,50,1611096.05,1769854.16,1688420.76,1624383.75,1687181.0085714285,1642002.9106666667
1,2011-05-08,1876704.26,0,93.34,3.684,215.1978515,7.852,2011,5,8,6,18,1959707.9,1866243.0,1839128.83,1827440.43,1919247.5457142857,1960071.290689655
1,2011-06-05,1837743.6,0,61.48,3.906,215.4448709,7.931,2011,6,5,6,22,1876704.26,1809119.7,2378726.55,2066187.72,1920742.0114285715,1969230.1944827586
1,2011-07-01,1758050.79,0,44.69,2.976,211.0648881,8.028,2011,7,1,4,26,1837743.6,1954952.0,2025538.76,2003940.64,1924831.14,1964847.308
1,2011-07-10,1837553.43,0,69.92,3.285,216.6958311,7.441,2011,7,10,6,27,1758050.79,1933756.21,2137809.5,1904608.09,1896702.395714286,1962534.32
1,2011-08-04,1847552.61,0,67.0,3.622,214.7252242,7.931,2011,8,4,3,31,1837553.43,1929346.23,1990483.78,2015781.27,1882959.1414285714,1954913.1770000001
1,2011-08-07,1853161.99,0,87.7,3.48,214.9296249,7.852,2011,8,7,6,31,1847552.61,1981607.78,1916812.74,2102539.93,1871274.3385714286,1949700.2426666666
1,2011-09-09,1748000.65,1,77.97,3.546,215.5148295,7.852,2011,9,9,4,36,1853161.99,1959707.9,1800171.36,2136989.46,1852924.94,1947985.3726666667
1,2011-09-12,2290549.32,0,41.76,3.158,218.605037,7.441,2011,9,12,0,37,1748000.65,1876704.26,1866243.0,1991013.13,1822681.0471428572,1939059.3520000002
1,2011-10-06,1929153.16,0,83.4,3.648,214.6964908,7.931,2011,10,6,3,40,2290549.32,1837743.6,1809119.7,1939061.41,1881801.77,1945326.3316666668
1,2011-11-02,2168041.61,1,33.19,3.022,212.5928624,8.028,2011,11,2,2,44,1929153.16,1758050.79,1954952.0,1991909.98,1894860.2785714285,1938398.4549999998
1,2011-11-03,1879107.31,0,52.7,3.459,213.7646401,8.028,2011,11,3,3,44,2168041.61,1837553.43,1933756.21,2042581.71,1953430.3957142856,1944299.4043333333
1,2011-11-11,1920725.15,0,59.33,3.297,217.6455387,7.441,2011,11,11,4,45,1879107.31,1847552.61,1929346.23,1849921.44,1959366.664285714,1942300.9343333333
1,2011-12-08,1812768.26,0,91.58,3.638,215.2593211,7.852,2011,12,8,3,49,1920725.15,1853161.99,1981607.78,1954689.21,1969819.8842857142,1939928.1066666665
1,2012-01-06,1910092.37,0,78.38,3.501,221.3852748,6.891,2012,1,6,4,1,1812768.26,1748000.65,1959707.9,1880902.62,1964049.3514285714,1932267.658333333
1,2012-02-03,1952555.66,0,58.79,3.63,220.4866886,7.057,2012,2,3,4,5,1910092.37,2290549.32,1876704.26,1839128.83,1987205.3114285714,1934273.356
